expected_class,predicted_common,predicted_scientific,count,match_level,review_decision
wild_boar,nine-banded armadillo,dasypus novemcinctus,1,class,different
wild_boar,domestic sheep,ovis aries,1,order,lookalike
common_warthog,domestic cattle,bos taurus,45,order,different
common_warthog,common wildebeest,connochaetes taurinus,5,order,different
common_warthog,domestic horse,equus caballus,5,class,different
common_warthog,white-tailed deer,odocoileus virginianus,5,order,different
common_warthog,mule deer,odocoileus hemionus,3,order,different
common_warthog,red deer,cervus elaphus,3,order,different
common_warthog,impala,aepyceros melampus,2,order,lookalike
common_warthog,sika deer,cervus nippon,2,order,different
common_warthog,plains zebra,equus quagga,2,class,different
common_warthog,california ground squirrel,otospermophilus beecheyi,2,class,different
common_warthog,vervet monkey,chlorocebus pygerythrus,2,class,different
common_warthog,eastern gray squirrel,sciurus carolinensis,2,class,different
common_warthog,coyote,canis latrans,2,class,different
common_warthog,domestic cat,felis catus,2,class,different
common_warthog,bobcat,lynx rufus,1,class,different
common_warthog,dhole,cuon alpinus,1,class,different
common_warthog,wild goat,capra aegagrus,1,order,lookalike
common_warthog,eastern fox squirrel,sciurus niger,1,class,different
common_warthog,domestic goat,capra aegagrus hircus,1,order,lookalike
common_warthog,domestic dog,canis familiaris,1,class,different
common_warthog,elk,cervus canadensis,1,order,lookalike
common_warthog,lion,panthera leo,1,class,different
common_warthog,przewalski's horse,equus ferus,1,class,different
common_warthog,domestic sheep,ovis aries,1,order,lookalike
common_warthog,spotted hyaena,crocuta crocuta,1,class,different
