generator,prompt_regime,category,class_name,band,real_test_images,ap_mean,ap_std
gpt-image-2-low,full,api_full,pangolin family,A,52,0.017067042955507834,0.016840589928793868
gpt-image-2-low,full,api_full,plains zebra,D,2079,0.2897096276283264,0.011310692370008407
gpt-image-2-low,full,api_full,red fox,D,2150,0.26580924292405445,0.04002639406736312
gpt-image-2-low,full,api_full,ringtail,A,186,0.010388438900311789,0.004236597005028762
gpt-image-2-low,full,api_full,saiga,A,50,0.0268301572650671,0.0051221697586318875
gpt-image-2-low,full,api_full,water deer,A,151,0.06640117491285007,0.022307152656920456
gpt-image-2-medium,full,api_full,american black bear,D,2097,0.32033367951711017,0.04010266519075899
gpt-image-2-medium,full,api_full,aye-aye,A,29,0.011140312999486923,0.0018368865634251184
gpt-image-2-medium,full,api_full,grevy's zebra,B,224,0.17620196441809335,0.006556226926213864
gpt-image-2-medium,full,api_full,kinkajou,A,160,0.015510802002002796,0.010618774332387927
gpt-image-2-medium,full,api_full,lion,D,2097,0.11543934295574824,0.009688256054672887
gpt-image-2-medium,full,api_full,mountain zebra,D,467,0.2336524029572805,0.03781800334455793
gpt-image-2-medium,full,api_full,pangolin family,A,52,0.013103936488429705,0.0038209617576651016
gpt-image-2-medium,full,api_full,plains zebra,D,2079,0.29811301827430725,0.01780496693997985
gpt-image-2-medium,full,api_full,red fox,D,2150,0.2505551526943843,0.026245861611318647
gpt-image-2-medium,full,api_full,ringtail,A,186,0.008790118930240473,0.005029335645749229
gpt-image-2-medium,full,api_full,saiga,A,50,0.029196321964263916,0.01268152095266074
gpt-image-2-medium,full,api_full,water deer,A,151,0.042051215966542564,0.0033074963015134722
gemini-3.1-flash-lite-image,full,api_full,american black bear,D,2097,0.24832204977671304,0.006872470232446673
gemini-3.1-flash-lite-image,full,api_full,aye-aye,A,29,0.027070149158438046,0.021250925303389144
gemini-3.1-flash-lite-image,full,api_full,grevy's zebra,B,224,0.15925456831852594,0.034637552602007134
gemini-3.1-flash-lite-image,full,api_full,kinkajou,A,160,0.01964344022174676,0.0030034227311809417
gemini-3.1-flash-lite-image,full,api_full,lion,D,2097,0.07393525168299675,0.010309701960448203
gemini-3.1-flash-lite-image,full,api_full,mountain zebra,D,467,0.11118172854185104,0.02539199790117509
gemini-3.1-flash-lite-image,full,api_full,pangolin family,A,52,0.005361195188015699,0.0034300410004900928
gemini-3.1-flash-lite-image,full,api_full,plains zebra,D,2079,0.25552449623743695,0.0062141956203684585
gemini-3.1-flash-lite-image,full,api_full,red fox,D,2150,0.20133880774180093,0.009599097710499585
gemini-3.1-flash-lite-image,full,api_full,ringtail,A,186,0.004519416873032848,0.0017033187524162312
gemini-3.1-flash-lite-image,full,api_full,saiga,A,50,0.01963790071507295,0.012582135402559072
gemini-3.1-flash-lite-image,full,api_full,water deer,A,151,0.013426922261714935,0.007992885786626745
gpt-image-2-low,compressed,api_compressed,american black bear,D,2097,0.2257400800784429,0.024904637286520984
gpt-image-2-low,compressed,api_compressed,aye-aye,A,29,0.0359035087749362,0.03177109364453254
gpt-image-2-low,compressed,api_compressed,grevy's zebra,B,224,0.09367476652065913,0.008340796204888992
gpt-image-2-low,compressed,api_compressed,kinkajou,A,160,0.02949063976605733,0.0049660822078334
gpt-image-2-low,compressed,api_compressed,lion,D,2097,0.04968444133798281,0.0017853032910002647
gpt-image-2-low,compressed,api_compressed,mountain zebra,D,467,0.1294643556078275,0.016505799754644165
gpt-image-2-low,compressed,api_compressed,pangolin family,A,52,0.0018456153920851648,0.0016362563873738604
gpt-image-2-low,compressed,api_compressed,plains zebra,D,2079,0.19662691156069437,0.01500052733815526
gpt-image-2-low,compressed,api_compressed,red fox,D,2150,0.10610893120368321,0.01330465027102107
gpt-image-2-low,compressed,api_compressed,ringtail,A,186,0.0026752446234847107,0.0020667397511152227
gpt-image-2-low,compressed,api_compressed,saiga,A,50,0.0051788748241961,0.003788165348382982
