common_name,scientific_name,level,gbif_pass,inaturalist_pass,wikimedia_pass,openimages_pass,total_pass,total_imgs,after_buffer,status,gap,top_failure_reasons
japanese macaque,macaca fuscata,species,45,296,0,0,341,593,273,low,1227,prediction_source 'classifier+rollup_to_genus' (need 'classifier')(67); prediction_source 'detector' (need 'classifier')(30); quality_grade 'casual' ∉ {'research'}(28)
tayra,eira barbara,species,144,197,0,0,341,557,273,low,1227,no animal detected (conf ≥ 0.6)(28); too small: 500×281 (min 320px on short side)(19); prediction_source 'detector' (need 'classifier')(17)
red panda,ailurus fulgens,species,11,15,1,317,344,587,275,low,1225,quality_grade 'casual' ∉ {'research'}(207); no animal detection(7); no animal detected (conf ≥ 0.6)(6)
reedbuck genus,redunca,genus,52,292,0,0,344,673,275,low,1225,prediction_source 'classifier+rollup_to_family' (need 'classifier')(78); prediction_source 'classifier+rollup_to_order' (need 'classifier')(52); prediction_source 'detector' (need 'classifier')(31)
bushbuck,tragelaphus scriptus,species,283,63,0,0,346,471,277,low,1223,prediction_source 'detector' (need 'classifier')(26); prediction_source 'classifier+rollup_to_family' (need 'classifier')(21); prediction_source 'classifier+rollup_to_order' (need 'classifier')(19)
glaucomys species,glaucomys,genus,42,305,0,0,347,1444,278,low,1222,prediction_source 'detector' (need 'classifier')(205); quality_grade 'needs_id' ∉ {'research'}(139); no animal detected (conf ≥ 0.6)(92)
sun bear,helarctos malayanus,species,16,29,0,306,351,542,281,low,1219,quality_grade 'casual' ∉ {'research'}(69); effectively grayscale (mean HSV saturation=0.0 < 15.0)(17); quality_grade 'needs_id' ∉ {'research'}(17)
lowland tapir,tapirus terrestris,species,130,226,0,0,356,902,285,low,1215,no animal detected (conf ≥ 0.6)(150); quality_grade 'casual' ∉ {'research'}(119); quality_grade 'needs_id' ∉ {'research'}(52)
gorilla species,gorilla,genus,110,259,1,0,370,773,296,low,1204,quality_grade 'casual' ∉ {'research'}(193); no animal detected (conf ≥ 0.6)(83); prediction_source 'classifier+rollup_to_class' (need 'classifier')(20)
asiatic black bear,ursus thibetanus,species,20,49,1,306,376,619,301,low,1199,quality_grade 'casual' ∉ {'research'}(52); too small: 500×281 (min 320px on short side)(38); effectively grayscale (mean HSV saturation=0.0 < 15.0)(29)
